unicef_region,iso3,country,vaccine,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Western Europe,CZE,Czechia,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,PRK,Democratic People's Republic of Korea,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,COD,Democratic Republic of the Congo,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,DNK,Denmark,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,DJI,Djibouti,ROTAC,87,80,72,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,DMA,Dominica,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,DOM,Dominican Republic,ROTAC,82,82,75,83,86,69,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,ECU,Ecuador,ROTAC,85,84,80,78,81,83,87,90,94,97,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,EGY,Egypt,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,SLV,El Salvador,ROTAC,82,84,93,93,96,92,93,90,90,62,83,78,25,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GNQ,Equatorial Guinea,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,ERI,Eritrea,ROTAC,96,96,96,96,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,EST,Estonia,ROTAC,85,87,85,64,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,SWZ,Eswatini,ROTAC,90,86,95,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,ETH,Ethiopia,ROTAC,79,80,80,79,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,FJI,Fiji,ROTAC,99,99,99,99,99,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,FIN,Finland,ROTAC,82,80,84,91,92,93,93,93,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,FRA,France,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GAB,Gabon,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GMB,Gambia,ROTAC,93,93,95,97,92,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,GEO,Georgia,ROTAC,79,76,75,72,69,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,DEU,Germany,ROTAC,68,68,68,68,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GHA,Ghana,ROTAC,94,97,94,88,98,87,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,GRC,Greece,ROTAC,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,GRD,Grenada,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,GTM,Guatemala,ROTAC,87,80,82,79,54,81,81,71,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GIN,Guinea,ROTAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GNB,Guinea-Bissau,ROTAC,88,88,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,GUY,Guyana,ROTAC,91,97,96,96,95,94,91,77,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,HTI,Haiti,ROTAC,58,58,58,58,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
