unicef_region,iso3,country,vaccine,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Eastern Europe & Central Asia,HRV,Croatia,HEPBB,,,,,98,98,96,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,CUB,Cuba,HEPBB,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,
Western Europe,CYP,Cyprus,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,CZE,Czechia,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,PRK,Democratic People's Republic of Korea,HEPBB,98,98,98,97,99,99,99,99,99,98,97,96,94,94,99,28,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,COD,Democratic Republic of the Congo,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,DNK,Denmark,HEPBB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,DJI,Djibouti,HEPBB,93,92,90,92,94,86,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,DMA,Dominica,HEPBB,46,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,DOM,Dominican Republic,HEPBB,65,67,66,64,67,63,59,67,65,58,54,46,75,75,66,66,66,66,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,ECU,Ecuador,HEPBB,70,61,68,75,79,69,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,EGY,Egypt,HEPBB,89,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,SLV,El Salvador,HEPBB,77,80,81,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
