unicef_region,iso3,country,vaccine,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
East Asia & Pacific,COK,Cook Islands,HIB3,99,99,99,99,99,98,98,93,99,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,CRI,Costa Rica,HIB3,94,96,97,92,91,95,90,81,90,87,87,88,88,89,90,87,93,89,92,68,26,,,,,,,,,,,,,,,,,,
West & Central Africa,CIV,Cote d'Ivoire,HIB3,82,83,85,77,73,75,82,62,85,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,HRV,Croatia,HIB3,94,92,93,94,95,96,96,96,97,96,96,96,96,96,95,95,79,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,CUB,Cuba,HIB3,99,99,99,99,97,96,96,96,96,96,97,97,97,94,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,
Western Europe,CYP,Cyprus,HIB3,97,96,96,97,96,96,96,96,96,96,90,90,90,58,58,58,32,32,32,,,,,,,,,,,,,,,,,,,,
Western Europe,CZE,Czechia,HIB3,94,94,96,97,99,99,99,99,99,99,99,99,97,97,98,97,95,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,PRK,Democratic People's Republic of Korea,HIB3,97,97,96,96,93,93,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,COD,Democratic Republic of the Congo,HIB3,81,81,79,81,80,74,75,74,60,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,DNK,Denmark,HIB3,97,98,94,93,94,94,94,91,90,89,88,87,93,93,95,96,96,95,95,95,97,99,93,78,88,82,,,,,,,,,,,,,
Eastern & Southern Africa,DJI,Djibouti,HIB3,84,76,68,84,78,82,81,87,88,89,89,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,DMA,Dominica,HIB3,94,91,99,98,97,96,97,98,98,99,96,93,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,DOM,Dominican Republic,HIB3,90,77,73,76,87,75,70,71,81,77,79,70,80,87,80,75,43,20,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,ECU,Ecuador,HIB3,85,85,83,78,83,87,87,88,90,93,95,95,94,90,86,54,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,EGY,Egypt,HIB3,95,94,95,93,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,SLV,El Salvador,HIB3,81,85,93,91,93,92,92,89,89,91,98,99,96,89,90,94,81,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GNQ,Equatorial Guinea,HIB3,25,25,19,16,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,ERI,Eritrea,HIB3,95,95,95,95,94,94,94,94,95,95,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,EST,Estonia,HIB3,92,93,93,93,93,94,94,93,94,95,95,95,88,37,27,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,SWZ,Eswatini,HIB3,90,90,90,90,98,98,95,91,89,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern & Southern Africa,ETH,Ethiopia,HIB3,72,73,73,73,61,59,62,65,62,56,52,47,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,FJI,Fiji,HIB3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,98,98,,,,,,,,,,,,,,,,,
Western Europe,FIN,Finland,HIB3,91,89,92,97,98,98,99,99,99,98,98,97,98,98,96,96,96,96,96,96,96,96,96,94,93,97,97,,,,,,,,,,,,
Western Europe,FRA,France,HIB3,95,95,95,96,97,98,98,98,97,97,97,97,97,97,97,87,87,86,86,85,79,,,,,,,,,,,,,,,,,,
West & Central Africa,GAB,Gabon,HIB3,70,75,75,80,70,79,82,75,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GMB,Gambia,HIB3,93,92,95,97,96,97,98,96,97,99,97,94,95,95,93,91,89,87,90,94,97,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,GEO,Georgia,HIB3,93,91,92,87,91,96,92,94,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,DEU,Germany,HIB3,92,92,92,92,92,92,93,93,93,94,94,94,93,94,94,93,94,94,94,92,90,88,88,85,82,80,74,60,,,,,,,,,,,
West & Central Africa,GHA,Ghana,HIB3,97,99,93,88,98,90,92,91,94,94,93,94,84,84,80,80,80,,,,,,,,,,,,,,,,,,,,,,
Western Europe,GRC,Greece,HIB3,99,99,99,99,99,94,94,83,83,83,83,83,84,84,85,86,86,87,87,88,71,54,36,19,2,,,,,,,,,,,,,,
Latin America & Caribbean,GRD,Grenada,HIB3,96,96,96,92,97,97,97,95,97,99,99,96,91,99,83,97,98,96,33,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,GTM,Guatemala,HIB3,86,82,80,74,73,85,96,85,94,92,95,85,89,87,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GIN,Guinea,HIB3,45,45,45,45,44,50,57,63,64,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West & Central Africa,GNB,Guinea-Bissau,HIB3,88,88,88,88,88,87,87,89,86,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,GUY,Guyana,HIB3,95,97,97,95,98,98,97,93,95,98,93,94,93,93,91,90,91,85,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,HTI,Haiti,HIB3,64,64,64,64,63,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,HND,Honduras,HIB3,90,89,94,98,98,98,98,97,97,97,92,93,94,97,93,91,94,95,93,,,,,,,,,,,,,,,,,,,,
Western Europe,HUN,Hungary,HIB3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,
Western Europe,ISL,Iceland,HIB3,91,89,91,92,90,91,89,95,96,96,98,97,97,95,99,97,95,92,98,98,99,99,99,99,99,99,99,99,,,,,,,,,,,
South Asia,IND,India,HIB3,89,89,80,45,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,IDN,Indonesia,HIB3,79,79,79,78,30,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,IRN,Iran (Islamic Republic of),HIB3,99,99,99,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,IRQ,Iraq,HIB3,84,85,73,68,69,68,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,IRL,Ireland,HIB3,94,95,95,95,96,95,95,95,94,93,93,92,91,90,89,86,83,84,85,86,84,76,,,,,,,,,,,,,,,,,
Middle East & North Africa,ISR,Israel,HIB3,98,98,94,95,95,96,94,94,95,96,94,95,94,93,95,93,91,94,93,93,94,92,92,93,92,,,,,,,,,,,,,,
Western Europe,ITA,Italy,HIB3,94,94,93,93,94,95,96,96,95,96,96,96,96,95,94,90,83,70,55,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean,JAM,Jamaica,HIB3,98,93,99,91,92,93,96,91,94,90,91,91,97,99,98,35,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,JPN,Japan,HIB3,99,99,99,96,99,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle East & North Africa,JOR,Jordan,HIB3,96,99,98,99,98,98,98,98,98,98,97,98,98,95,95,97,95,59,,,,,,,,,,,,,,,,,,,,,
Eastern Europe & Central Asia,KAZ,Kazakhstan,HIB3,98,99,82,98,95,98,97,95,96,97,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
