"","iso3","country","country.y","totalcases","totaldeaths","a1980","a1981","a1982","a1983","a1984","a1985","a1986","a1987","a1988","a1989","a1990","a1991","a1992","a1993","a1994","a1995","a1996","a1997","a1998","a1999","a2000","a2001","a2002","a2003","a2004","a2005","a2006","a2007","a2008","a2009","a2010","a2011","a2012","a2013","a2014","a2015","a2016","a2017","a2018","avg"
"29","CIV","Cote d'Ivoire","Cote d'Ivoire",14531,93,0,0,0,0,17,29,41,53,52,47,62,65,70,74,75,69,68,73,71,74,80,80,79,78,71,85,77,94,91,95,91,74,93,90,84,79,95,93,98,63
"30","CMR","Cameroon","Cameroon",16522,382,0,8,27,46,49,54,60,65,71,76,76,69,62,58,59,62,69,75,80,78,78,79,79,82,83,90,96,89,91,81,83,80,81,82,82,74,70,91,88,66
"31","COD","Democratic Republic of Congo","Democratic Republic of the Congo",8625,197,57,61,62,65,62,57,51,57,59,55,65,21,32,43,46,34,25,25,25,30,57,43,50,61,68,72,72,80,78,85,85,66,83,83,78,74,80,80,83,56
"32","COG","Congo","Congo",2851,50,92,0,91,90,80,89,86,87,88,90,90,89,75,63,61,58,51,29,34,39,50,53,51,60,85,73,84,86,93,90,95,95,92,92,95,85,80,76,81,71
"33","COL","Colombia","Colombia",218428,7373,45,57,65,79,69,76,70,80,99,94,95,95,88,96,99,99,99,97,85,80,91,87,87,97,92,94,96,93,93,90,84,83,89,85,89,90,88,91,89,82
"34","COM","Comoros","Comoros",337,7,0,0,0,0,56,77,97,97,72,95,99,71,81,95,94,95,55,55,84,87,90,90,90,79,79,80,84,77,81,80,76,78,79,85,90,94,94,94,94,71
"35","CPV","Cape Verde","Cabo Verde",2154,21,0,0,0,0,0,64,93,99,99,99,97,99,99,95,95,94,94,93,94,95,96,96,97,98,99,99,99,99,99,99,99,99,99,94,99,94,96,98,96,80
"36","CRI","Costa Rica","Costa Rica",12361,71,80,81,81,83,86,82,79,83,86,89,92,81,94,98,94,99,92,82,87,89,92,87,91,87,90,88,87,91,90,81,77,78,78,79,80,83,89,90,92,82
"37","CUB","Cuba","Cuba",2462,87,99,97,97,96,97,98,98,96,99,98,98,98,98,97,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,94
"38","CZE","Czech Republic","Czechia",14570,364,0,0,0,0,0,0,0,0,0,0,0,0,0,98,95,95,96,97,98,98,98,98,97,98,99,99,99,99,99,98,0,0,0,0,0,0,0,0,0,41
"39","DEU","Germany","Germany",203368,9101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","DJI","Djibouti","Djibouti",5030,58,0,0,5,36,36,37,38,42,87,80,81,66,51,51,51,51,51,43,35,26,34,38,52,63,71,80,88,90,90,90,90,89,87,86,99,92,90,92,93,58
"41","DMA","Dominica","Dominica",18,0,65,57,48,99,84,90,87,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,90,98,99,99,98,98,97,98,98,98,97,95,90
"42","DNK","Denmark","Denmark",13350,611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","DOM","Dominican Republic","Dominican Republic",56043,1005,29,34,38,41,43,51,54,57,60,63,70,74,78,82,86,90,79,88,86,99,90,98,97,95,97,96,95,92,92,96,98,99,99,99,99,99,99,99,99,77
"44","DZA","Algeria","Algeria",24872,1111,0,0,0,0,0,86,88,93,96,96,99,98,97,95,93,93,94,94,95,97,97,97,98,98,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,80
"45","ECU","Ecuador","Ecuador",77257,5418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","ECU","Ecuador","Ecuador",77257,5418,76,82,99,85,99,99,94,85,92,91,89,82,99,99,99,99,99,99,98,99,99,99,99,99,99,99,99,99,98,99,98,98,94,90,89,88,84,88,90,90
"47","EGY","Egypt","Egypt",89745,4440,50,50,50,53,53,80,77,72,80,83,89,92,92,95,95,93,95,98,99,98,98,98,98,98,98,98,99,98,98,98,98,98,95,98,96,96,96,86,95,84
"48","ERI","Eritrea","Eritrea",251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,60,68,75,83,96,98,89,91,94,97,99,99,99,99,99,98,98,97,97,97,97,97,97,97,97,58
"49","EST","Estonia","Estonia",2025,69,0,0,0,0,0,0,0,0,0,0,0,0,0,98,98,99,99,99,99,99,99,99,99,99,99,99,99,98,98,97,97,99,97,96,95,95,95,94,92,62
"50","ETH","Ethiopia","Ethiopia",11072,180,0,5,6,7,8,11,13,28,27,44,64,29,26,36,65,61,57,54,54,54,56,57,58,59,60,64,66,69,71,74,76,80,74,68,69,88,83,85,85,49
"51","FIN","Finland","Finland",7362,328,90,90,90,90,86,83,80,90,99,91,91,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,98,0,0,0,0,0,0,0,0,0,0,0,0,62
