"","iso3","country","country.y","totalcases","totaldeaths","a1980","a1981","a1982","a1983","a1984","a1985","a1986","a1987","a1988","a1989","a1990","a1991","a1992","a1993","a1994","a1995","a1996","a1997","a1998","a1999","a2000","a2001","a2002","a2003","a2004","a2005","a2006","a2007","a2008","a2009","a2010","a2011","a2012","a2013","a2014","a2015","a2016","a2017","a2018","avg"
"128","QAT","Qatar","Qatar",107871,163,4,28,44,69,73,76,84,85,85,79,97,98,99,99,96,96,98,99,99,99,99,99,99,99,99,99,99,96,97,98,99,97,97,98,90,97,97,99,99,84
"129","ROU","Romania","Romania",40163,2101,0,0,0,0,0,0,93,95,93,90,90,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,99,99,99,99,99,99,98,98,98,84,97,96,78
"130","RUS","Russia","Russian Federation",789190,12745,0,0,0,0,0,0,0,0,0,0,0,0,86,87,92,92,93,94,95,96,96,96,97,97,96,97,97,97,96,96,96,95,96,96,96,96,96,95,95,62
"131","RWA","Rwanda","Rwanda",1689,5,0,51,50,49,66,83,92,92,91,92,92,94,94,82,32,89,93,96,95,94,81,74,81,88,86,91,98,89,93,99,99,99,99,99,99,99,99,98,97,80
"132","SAU","Saudi Arabia","Saudi Arabia",258156,2601,33,49,56,72,88,89,90,91,93,96,90,85,91,93,94,94,91,91,92,92,94,94,98,94,95,96,95,96,98,98,98,98,99,99,98,98,98,97,98,86
"133","SDN","Sudan","Sudan",11127,706,2,3,3,5,8,12,22,43,54,75,77,78,68,66,60,63,71,70,61,66,56,67,65,69,66,72,77,83,88,82,90,92,92,93,95,88,96,97,88,60
"134","SEN","Senegal","Senegal",9121,177,0,0,0,0,0,0,92,92,91,90,90,80,80,80,80,91,81,81,81,90,89,89,70,77,95,92,94,96,98,97,97,97,97,97,95,95,97,99,83,72
"135","SGP","Singapore","Singapore",48744,27,85,83,87,83,93,93,99,98,99,99,99,99,99,98,97,98,98,98,98,99,99,98,98,99,99,98,98,99,99,99,99,99,99,99,99,99,99,99,98,92
"136","SLE","Sierra Leone","Sierra Leone",1731,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,74,63,76,89,86,85,83,82,91,96,97,97,98,99,90,90,92,90,90,42
"137","SLV","El Salvador","El Salvador",12975,363,56,47,46,48,22,50,51,55,56,62,75,67,62,79,82,99,98,95,99,99,99,92,92,91,94,84,93,99,99,99,96,95,90,90,85,99,87,83,81,76
"138","SOM","Somalia","Somalia",3161,93,6,3,8,7,17,30,28,33,39,31,31,31,37,42,48,46,43,37,54,71,69,70,60,65,50,50,40,38,36,29,41,39,37,37,37,37,37,37,37,36
"139","SRB","Serbia","Serbia",22031,499,0,0,0,0,0,0,0,0,0,0,0,0,97,97,97,97,97,96,89,82,85,88,91,94,97,98,99,98,99,98,99,99,98,97,98,98,98,97,98,63
"140","SSD","South Sudan","South Sudan",2211,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,65,58,55,55,52,52,52,11
"141","STP","Sao Tome and Principe","Sao Tome and Principe",747,14,0,95,90,86,82,75,99,88,88,94,99,99,83,77,86,95,85,70,80,81,81,92,96,99,99,98,98,98,99,99,99,99,99,97,95,97,92,94,96,85
"142","SVK","Slovakia","Slovakia",2058,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,92,96,95,93,96,94,93,98,98,98,98,98,98,98,97,98,97,90,0,0,0,0,0,0,45
"143","SVN","Slovenia","Slovenia",2015,115,0,0,0,0,0,0,0,0,0,0,0,0,93,99,99,99,98,97,98,96,98,98,97,97,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
"144","SWE","Sweden","Sweden",78504,5667,3,4,6,10,16,16,14,14,14,13,13,12,13,13,13,14,14,15,16,16,16,16,16,17,18,20,21,23,23,21,23,23,24,27,26,24,26,25,26,16
"145","SWZ","Swaziland","Eswatini",1938,25,0,59,66,72,73,79,91,94,95,96,96,71,97,98,99,99,85,85,86,87,88,89,90,91,92,93,94,95,96,97,98,98,99,99,99,98,97,98,98,84
"146","SYC","Seychelles","Seychelles",114,0,0,67,83,98,95,92,94,94,94,94,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,96,99,99,99,99,98,99,99,99,97,90
"147","SYR","Syria","Syrian Arab Republic",561,32,35,36,37,45,49,53,98,71,87,98,92,95,92,91,91,91,91,91,91,91,91,91,90,90,90,90,91,93,93,95,97,90,82,84,81,66,72,78,79,77
"148","TCD","Chad","Chad",889,75,0,0,0,0,8,15,24,32,38,59,59,40,34,34,43,43,39,45,45,45,49,52,46,40,41,41,56,44,30,46,58,52,62,60,58,70,59,59,59,39
"149","TGO","Togo","Togo",806,16,0,44,48,51,55,54,53,95,91,94,99,96,92,89,86,83,79,76,70,81,84,83,81,79,91,96,96,91,92,91,97,97,97,97,79,86,79,75,83,76
"150","THA","Thailand","Thailand",3269,58,68,71,73,75,76,80,83,93,91,98,99,99,99,99,99,98,98,99,99,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,90
"151","TJK","Tajikistan","Tajikistan",7015,58,0,0,0,0,0,0,0,0,0,0,0,0,88,69,96,96,99,99,98,98,98,96,97,98,95,97,93,83,89,82,98,97,97,98,98,98,98,98,99,62
"152","TLS","Timor","Timor-Leste",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,72,72,70,74,74,85,74,79,79,86,86,79,79,86,95,95,33
"153","TUN","Tunisia","Tunisia",1394,50,0,0,87,88,89,90,92,93,95,96,96,96,97,97,97,97,97,97,93,94,95,91,91,93,97,98,99,99,99,98,98,98,99,97,95,97,95,91,92,86
"154","TUR","Turkey","Turkey",222402,5545,0,42,47,65,71,76,82,87,97,95,93,91,89,90,91,90,89,89,91,93,96,95,89,88,85,88,88,94,96,96,97,96,96,96,95,96,96,93,96,82
"155","TZA","Tanzania","United Republic of Tanzania",509,21,72,74,64,83,73,90,82,94,93,92,85,95,99,94,92,96,80,85,83,87,86,91,88,91,91,91,90,89,89,93,99,99,99,99,99,99,99,99,99,85
"156","UGA","Uganda","Uganda",1075,0,0,18,23,28,32,37,51,61,70,72,75,77,79,82,84,83,82,82,75,80,82,83,85,87,88,90,83,87,86,90,86,97,95,93,91,95,94,89,88,70
"157","UKR","Ukraine","Ukraine",61851,1551,0,0,0,0,0,0,0,0,0,0,0,0,93,89,92,95,97,97,97,99,98,98,98,98,98,96,97,98,95,94,92,90,95,95,39,39,75,84,90,59
"158","URY","Uruguay","Uruguay",1117,34,56,76,76,99,93,92,92,98,98,99,99,99,99,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,98,98,98,98,91
"159","USA","United States","United States",3970906,143190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160","UZB","Uzbekistan","Uzbekistan",18531,99,0,0,0,0,0,0,0,0,0,0,0,0,98,98,93,99,96,97,97,98,98,98,99,99,99,93,99,99,96,99,99,99,99,99,99,99,99,99,96,64
"161","VCT","Saint Vincent and the Grenadines","Saint Vincent and the Grenadines",50,0,0,0,0,0,32,84,76,90,95,99,99,99,99,99,99,99,99,98,99,99,99,99,91,87,99,95,99,93,87,80,90,99,97,96,98,99,99,99,99,80
"162","VEN","Venezuela","Venezuela (Bolivarian Republic of)",12774,120,72,77,76,82,92,89,86,63,76,88,82,90,85,81,95,91,90,89,82,98,99,93,90,91,96,95,83,82,90,91,92,95,96,95,97,99,97,94,92,84
"163","VNM","Vietnam","Viet Nam",408,0,0,0,0,4,48,50,55,59,79,94,90,91,91,94,96,96,95,96,93,95,98,97,97,97,96,95,95,94,92,97,94,98,98,95,96,97,95,97,95,77
"164","YEM","Yemen","Yemen",1640,458,9,12,13,15,16,20,23,30,52,75,95,63,54,57,41,60,58,54,66,79,82,78,73,66,64,66,67,64,60,58,65,59,64,71,73,47,73,66,64,52
"165","ZAF","South Africa","South Africa",394948,5940,0,0,0,71,67,70,61,64,55,73,57,63,66,95,95,95,95,97,94,92,89,86,84,81,78,76,79,79,84,82,81,84,86,88,93,83,90,75,70,70
"166","ZMB","Zambia","Zambia",3583,128,0,72,70,68,71,92,95,97,97,97,97,95,94,92,98,97,96,95,95,95,94,94,94,93,93,92,92,91,91,92,92,92,92,95,99,97,99,99,91,85
"167","ZWE","Zimbabwe","Zimbabwe",2034,26,0,64,65,67,69,76,94,94,89,90,91,91,91,95,95,96,96,92,88,86,84,82,80,78,76,80,84,87,91,90,99,98,98,95,99,90,95,95,95,81
